Id,primary,secondary,other_3,other_4,other_5,other_6
58,circle21,circle30,,,,
136,circle1,circle33,circle38,,,
428,circle10,circle21,circle30,,,
563,circle10,circle21,circle30,,,
1465,circle10,circle15,circle35,circle38,,
1577,circle35,circle38,,,,
1718,circle38,,,,,
1913,circle36,circle42,,,,
1914,circle1,,,,,
1915,circle15,circle36,circle41,,,
1917,circle20,,,,,
1918,circle20,,,,,
1919,circle1,,,,,
1920,circle38,,,,,
1921,circle1,,,,,
1922,circle15,circle41,,,,
1923,circle6,circle10,circle11,circle38,circle41,
1925,circle20,,,,,
1926,circle41,,,,,
1927,circle1,,,,,
1928,circle1,,,,,
1929,circle20,,,,,
1930,circle41,,,,,
1931,circle1,,,,,
1932,circle38,,,,,
1933,circle41,,,,,
1934,circle41,,,,,
1935,circle1,,,,,
1936,circle41,,,,,
1937,circle41,,,,,
1938,circle20,,,,,
1939,circle21,,,,,
1941,circle0,circle20,circle38,,,
1942,circle20,,,,,
1943,circle20,circle31,,,,
1944,circle41,,,,,
1945,circle38,circle40,,,,
1946,circle20,,,,,
1947,circle6,circle10,circle21,circle38,,
1948,circle38,,,,,
1949,circle15,circle41,,,,
1950,circle1,,,,,
1951,circle1,,,,,
1952,circle23,circle36,,,,
1953,circle20,,,,,
1954,circle1,circle38,,,,
1955,circle38,,,,,
1956,circle13,circle36,,,,
1957,circle31,,,,,
1958,circle31,,,,,
1959,circle5,circle21,circle26,circle29,,
1960,circle41,,,,,
1961,circle34,circle35,,,,
1962,circle20,,,,,
1963,circle20,,,,,
1964,circle11,circle41,,,,
1965,circle41,,,,,
1966,circle20,,,,,
1967,circle21,circle30,,,,
1968,circle1,,,,,
1969,circle20,,,,,
1970,circle21,circle37,,,,
1971,circle20,,,,,
1972,circle31,,,,,
1973,circle31,,,,,
1974,circle45,,,,,
1975,circle41,,,,,
1976,circle1,circle42,,,,
1977,circle36,,,,,
1978,circle41,,,,,
1979,circle20,,,,,
1980,circle31,,,,,
1981,circle21,,,,,
1983,circle20,,,,,
1984,circle20,circle44,,,,
1985,circle10,circle20,circle26,,,
1986,circle20,,,,,
1987,circle29,circle36,,,,
1988,circle27,,,,,
1989,circle20,,,,,
1990,circle41,,,,,
1991,circle1,,,,,
1992,circle27,,,,,
1993,circle20,,,,,
1994,circle38,,,,,
1995,circle1,,,,,
1996,circle15,circle41,,,,
1997,circle20,,,,,
1998,circle1,,,,,
1999,circle1,circle15,,,,
2000,circle1,,,,,
2001,circle1,,,,,
2002,circle21,,,,,
2003,circle21,circle37,,,,
2004,circle1,,,,,
2005,circle20,,,,,
2006,circle1,,,,,
2007,circle20,circle38,,,,
2008,circle41,,,,,
2009,circle1,,,,,
2010,circle36,circle38,,,,
2011,circle1,,,,,
2012,circle1,,,,,
2013,circle41,,,,,
2014,circle1,,,,,
2015,circle1,,,,,
2016,circle1,,,,,
2017,circle15,circle41,,,,
2018,circle1,,,,,
2019,circle20,,,,,
2020,circle1,circle20,,,,
2021,circle20,,,,,
2022,circle1,,,,,
2023,circle15,circle41,,,,
2024,circle1,,,,,
2025,circle1,,,,,
2026,circle5,circle36,,,,
2027,circle1,,,,,
2028,circle38,,,,,
2029,circle41,,,,,
2030,circle20,,,,,
2031,circle11,circle41,,,,
2032,circle38,circle40,,,,
2033,circle20,,,,,
2034,circle10,circle23,circle41,,,
2035,circle41,,,,,
2036,circle36,circle41,,,,
2037,circle20,,,,,
2038,circle11,circle38,circle41,,,
2039,circle38,,,,,
2040,circle20,,,,,
2041,circle15,circle41,,,,
2042,circle10,circle15,circle33,circle38,,
2043,circle20,,,,,
2045,circle20,,,,,
2046,circle3,circle20,,,,
2047,circle0,circle10,circle38,circle41,,
2048,circle20,,,,,
2049,circle41,,,,,
2051,circle36,circle41,,,,
2052,circle8,circle38,circle40,,,
2053,circle21,circle38,,,,
2054,circle21,circle38,circle40,,,
2055,circle20,,,,,
2056,circle20,,,,,
2057,circle29,circle36,,,,
2059,circle3,circle20,,,,
2060,circle20,,,,,
2061,circle31,,,,,
2062,circle15,circle21,circle26,,,
2063,circle20,,,,,
2064,circle20,,,,,
2065,circle36,,,,,
2066,circle36,,,,,
2067,circle20,circle36,,,,
2068,circle38,,,,,
2069,circle20,,,,,
2070,circle41,,,,,
2071,circle38,,,,,
2072,circle21,circle38,,,,
2073,circle20,circle44,,,,
2074,circle20,,,,,
2075,circle21,,,,,
2076,circle27,,,,,
2077,circle20,,,,,
2078,circle20,,,,,
2080,circle41,,,,,
2081,circle17,circle21,circle35,circle38,,
2082,circle36,circle41,,,,
2083,circle20,,,,,
2084,circle20,,,,,
2085,circle41,,,,,
2086,circle20,,,,,
2087,circle38,,,,,
2088,circle20,,,,,
2089,circle41,,,,,
2090,circle20,,,,,
2091,circle41,,,,,
2092,circle20,,,,,
2093,circle20,,,,,
2094,circle0,circle34,,,,
2095,circle20,,,,,
2096,circle10,circle15,circle21,,,
2097,circle1,,,,,
2098,circle12,circle20,,,,
2099,circle8,circle36,,,,
2100,circle16,circle36,,,,
2101,circle21,,,,,
2102,circle38,circle40,,,,
2103,circle20,,,,,
2104,circle20,,,,,
2105,circle41,,,,,
2106,circle24,circle25,circle41,,,
2108,circle3,circle20,,,,
2109,circle20,,,,,
2110,circle21,,,,,
2111,circle10,circle21,circle38,,,
2112,circle20,,,,,
2113,circle16,circle36,,,,
2114,circle15,circle23,circle41,,,
2115,circle20,,,,,
2116,circle1,,,,,
2117,circle38,circle41,,,,
2118,circle20,,,,,
2119,circle41,,,,,
2120,circle15,circle41,,,,
2121,circle20,circle31,,,,
2122,circle20,,,,,
2123,circle20,,,,,
2124,circle20,,,,,
2125,circle7,circle15,circle38,,,
2126,circle34,circle41,,,,
2127,circle38,,,,,
2128,circle33,circle35,circle36,,,
2129,circle36,circle41,,,,
2130,circle36,circle41,,,,
2131,circle20,,,,,
2132,circle21,,,,,
2133,circle11,circle38,circle41,,,
2134,circle6,circle10,circle14,circle38,circle43,
2135,circle38,,,,,
2136,circle20,,,,,
2137,circle12,circle36,,,,
2138,circle38,,,,,
2139,circle20,,,,,
2140,circle20,,,,,
2141,circle41,,,,,
2142,circle10,circle14,circle15,circle20,,
2143,circle1,circle33,circle38,,,
2144,circle40,,,,,
2145,circle41,,,,,
2146,circle41,,,,,
2147,circle20,,,,,
2148,circle38,,,,,
2149,circle35,circle38,,,,
2150,circle20,,,,,
2151,circle38,circle40,,,,
2152,circle41,,,,,
2153,circle5,circle38,,,,
2154,circle20,,,,,
2155,circle41,,,,,
2156,circle15,circle41,,,,
2157,circle1,,,,,
2158,circle41,,,,,
2159,circle1,,,,,
2160,circle41,,,,,
2161,circle21,,,,,
2162,circle41,,,,,
2163,circle7,circle38,,,,
2164,circle20,,,,,
2165,circle20,,,,,
2167,circle34,,,,,
2168,circle15,circle41,,,,
2169,circle36,circle38,,,,
2170,circle27,,,,,
2171,circle1,,,,,
2172,circle20,,,,,
2173,circle41,,,,,
2174,circle10,circle38,circle41,,,
2175,circle41,,,,,
2176,circle11,circle38,circle41,,,
2177,circle21,circle36,,,,
2178,circle41,,,,,
2179,circle20,,,,,
2181,circle41,,,,,
2182,circle17,circle41,,,,
2183,circle0,circle15,circle38,,,
2184,circle20,,,,,
2185,circle4,,,,,
2186,circle11,circle41,,,,
2187,circle38,,,,,
2188,circle20,,,,,
2189,circle20,circle38,,,,
2190,circle20,,,,,
2191,circle5,circle38,,,,
2192,circle1,,,,,
2193,circle41,,,,,
2194,circle38,,,,,
2196,circle38,,,,,
2197,circle41,,,,,
2199,circle21,circle38,,,,
2200,circle20,,,,,
2201,circle20,,,,,
2203,circle38,circle42,,,,
2204,circle10,circle15,circle41,,,
2206,circle20,,,,,
2208,circle45,,,,,
2209,circle11,circle38,circle41,,,
2210,circle20,,,,,
2211,circle11,circle41,,,,
2212,circle20,,,,,
2214,circle36,,,,,
2215,circle29,circle36,,,,
2216,circle20,,,,,
2217,circle4,circle16,,,,
2218,circle20,circle31,,,,
2219,circle4,,,,,
2220,circle20,,,,,
2221,circle15,circle21,,,,
2222,circle21,circle37,,,,
2223,circle38,,,,,
2224,circle7,circle15,circle38,,,
2225,circle31,,,,,
2227,circle36,circle41,,,,
2228,circle41,,,,,
2229,circle20,circle44,,,,
2230,circle8,circle18,circle36,,,
2231,circle15,circle41,,,,
2232,circle15,circle41,,,,
2233,circle20,,,,,
2234,circle20,,,,,
2235,circle21,,,,,
2236,circle41,,,,,
2237,circle20,,,,,
2238,circle41,,,,,
2240,circle20,,,,,
2241,circle10,circle26,circle38,circle40,,
2242,circle41,,,,,
2243,circle15,circle21,,,,
2244,circle20,circle44,,,,
2245,circle34,,,,,
2246,circle8,circle38,,,,
2247,circle8,circle38,,,,
2248,circle41,,,,,
2249,circle36,,,,,
2250,circle38,circle42,,,,
2251,circle36,circle41,,,,
2252,circle21,circle36,,,,
2253,circle20,,,,,
2254,circle4,circle38,,,,
2255,circle27,,,,,
2256,circle36,,,,,
2257,circle20,,,,,
2258,circle20,,,,,
2259,circle27,circle38,,,,
2260,circle23,circle41,,,,
2261,circle20,,,,,
2262,circle20,,,,,
2263,circle36,,,,,
2265,circle36,,,,,
2266,circle10,circle15,circle20,,,
2267,circle20,,,,,
2268,circle1,circle35,circle38,,,
2270,circle36,,,,,
2271,circle20,,,,,
2272,circle41,,,,,
2273,circle38,circle40,,,,
2274,circle21,circle38,,,,
2275,circle20,,,,,
2276,circle20,,,,,
2277,circle41,,,,,
2278,circle20,circle33,,,,
2279,circle38,,,,,
2280,circle21,circle38,,,,
2282,circle21,circle38,,,,
2283,circle8,circle15,circle19,circle22,circle23,circle38
2284,circle1,,,,,
2286,circle41,,,,,
2287,circle20,,,,,
2288,circle20,circle36,,,,
2289,circle38,circle39,circle41,,,
2290,circle20,,,,,
2291,circle36,,,,,
2292,circle33,circle35,circle38,,,
2293,circle20,,,,,
2294,circle21,circle38,,,,
2295,circle7,circle36,,,,
2296,circle11,circle41,,,,
2297,circle1,,,,,
2298,circle7,circle18,circle36,,,
2299,circle20,,,,,
2300,circle20,,,,,
2301,circle21,circle34,,,,
2302,circle33,circle38,,,,
2304,circle8,circle38,,,,
2306,circle20,,,,,
2307,circle20,,,,,
2308,circle20,,,,,
2309,circle20,,,,,
2310,circle11,circle41,,,,
2311,circle20,,,,,
2312,circle36,circle42,,,,
2313,circle41,,,,,
2314,circle41,,,,,
2315,circle38,,,,,
2316,circle15,circle41,,,,
2317,circle41,,,,,
2318,circle11,circle37,circle41,,,
2319,circle38,circle42,,,,
2320,circle27,,,,,
2321,circle23,circle41,,,,
2322,circle41,,,,,
2323,circle20,,,,,
2324,circle20,,,,,
2325,circle11,circle41,,,,
2326,circle20,,,,,
2327,circle21,,,,,
2328,circle15,circle21,circle38,circle39,,
2329,circle20,,,,,
2331,circle41,,,,,
2332,circle0,circle15,circle38,,,
2333,circle21,circle38,,,,
2334,circle20,,,,,
2335,circle41,,,,,
2336,circle15,circle38,,,,
2337,circle1,,,,,
2338,circle38,,,,,
2339,circle20,,,,,
2340,circle20,,,,,
2341,circle1,circle41,,,,
2342,circle41,,,,,
2343,circle38,,,,,
2344,circle10,circle21,circle39,,,
2345,circle36,circle41,,,,
2346,circle1,,,,,
2347,circle20,circle38,,,,
2348,circle12,circle20,,,,
2349,circle27,circle36,,,,
2350,circle20,,,,,
2351,circle38,,,,,
2352,circle20,,,,,
2353,circle20,,,,,
2354,circle20,,,,,
2355,circle36,circle42,,,,
2356,circle20,,,,,
2357,circle41,,,,,
2358,circle8,circle36,,,,
2359,circle20,,,,,
2360,circle41,,,,,
2361,circle41,,,,,
2362,circle41,,,,,
2363,circle20,,,,,
2364,circle1,,,,,
2365,circle31,,,,,
2366,circle41,,,,,
2367,circle38,circle41,,,,
2369,circle3,circle20,,,,
2370,circle20,,,,,
2371,circle36,circle41,,,,
2372,circle38,circle42,,,,
2373,circle41,,,,,
2374,circle20,,,,,
2375,circle4,circle16,,,,
2376,circle20,circle27,circle31,,,
2377,circle21,circle38,,,,
2378,circle1,,,,,
2379,circle41,,,,,
2381,circle20,,,,,
2382,circle10,circle15,circle41,,,
2384,circle21,circle38,circle42,,,
2385,circle29,,,,,
2386,circle20,,,,,
2387,circle20,,,,,
2388,circle41,,,,,
2389,circle36,circle42,,,,
2390,circle21,,,,,
2391,circle20,,,,,
2392,circle20,,,,,
2393,circle20,,,,,
2394,circle21,circle38,,,,
2395,circle20,circle31,,,,
2396,circle21,,,,,
2397,circle41,,,,,
2398,circle27,circle38,,,,
2399,circle21,circle27,circle38,,,
2400,circle36,circle42,,,,
2401,circle27,,,,,
2402,circle36,circle41,,,,
2403,circle41,,,,,
2404,circle20,,,,,
2405,circle41,,,,,
2406,circle41,,,,,
2407,circle20,,,,,
2408,circle20,,,,,
2409,circle20,,,,,
2410,circle20,,,,,
2411,circle41,,,,,
2412,circle41,,,,,
2413,circle36,,,,,
2414,circle20,,,,,
2415,circle21,circle37,,,,
2416,circle11,circle38,circle41,,,
2418,circle20,,,,,
2419,circle11,circle38,circle41,,,
2420,circle38,,,,,
2421,circle10,circle15,circle41,,,
2422,circle36,,,,,
2423,circle20,,,,,
2424,circle15,circle41,,,,
2425,circle13,,,,,
2426,circle12,circle27,,,,
2428,circle20,,,,,
2430,circle20,,,,,
2431,circle23,circle36,,,,
2432,circle21,,,,,
2433,circle20,circle44,,,,
2434,circle21,,,,,
2436,circle33,circle38,,,,
2437,circle10,circle15,circle41,,,
2438,circle21,circle38,,,,
2439,circle4,circle16,,,,
2440,circle41,,,,,
2441,circle36,,,,,
2442,circle20,,,,,
2443,circle20,circle32,,,,
2444,circle27,,,,,
2445,circle36,circle38,,,,
2446,circle20,,,,,
2447,circle1,,,,,
2448,circle36,circle41,,,,
2449,circle20,circle36,,,,
2450,circle36,,,,,
2451,circle21,circle38,,,,
2452,circle41,,,,,
2453,circle45,,,,,
2454,circle36,,,,,
2455,circle10,circle15,circle41,,,
2456,circle2,circle10,circle15,circle41,,
2457,circle32,,,,,
2458,circle15,circle21,circle38,,,
2459,circle1,circle43,,,,
2460,circle20,,,,,
2461,circle4,circle8,circle38,,,
2462,circle20,,,,,
2463,circle33,circle38,,,,
2464,circle20,,,,,
2465,circle40,,,,,
2466,circle27,,,,,
2468,circle10,circle20,circle28,circle39,,
2469,circle20,,,,,
2470,circle10,circle15,circle43,,,
2471,circle38,,,,,
2472,circle1,circle38,,,,
2473,circle38,circle41,,,,
2474,circle41,,,,,
2475,circle38,,,,,
2476,circle20,,,,,
2477,circle20,,,,,
2478,circle20,,,,,
2479,circle21,,,,,
2480,circle41,,,,,
2481,circle34,,,,,
2482,circle20,,,,,
2483,circle32,,,,,
2484,circle20,,,,,
2485,circle20,,,,,
2486,circle27,,,,,
2487,circle34,,,,,
2488,circle36,,,,,
2489,circle20,,,,,
2491,circle35,circle38,,,,
2492,circle20,,,,,
2494,circle1,,,,,
2495,circle20,,,,,
2496,circle38,,,,,
2497,circle36,circle41,,,,
2498,circle5,circle38,circle41,,,
2499,circle20,,,,,
2500,circle20,,,,,
2501,circle15,circle21,,,,
2502,circle7,circle36,,,,
2503,circle41,,,,,
2504,circle20,,,,,
2505,circle45,,,,,
2506,circle12,circle20,,,,
2507,circle20,,,,,
2509,circle21,,,,,
2511,circle21,circle38,,,,
2512,circle14,circle20,circle26,,,
2513,circle27,circle36,,,,
2514,circle36,,,,,
2515,circle27,,,,,
2516,circle7,circle38,,,,
2517,circle36,,,,,
2518,circle31,circle35,,,,
2519,circle7,circle38,,,,
2520,circle20,,,,,
2521,circle17,circle20,,,,
2523,circle9,circle15,circle41,,,
2524,circle36,,,,,
2525,circle11,circle41,,,,
2526,circle20,,,,,
2527,circle32,,,,,
2528,circle13,circle36,,,,
2529,circle36,circle42,,,,
2530,circle36,,,,,
2531,circle4,circle36,circle42,,,
2532,circle20,,,,,
2533,circle38,,,,,
2534,circle36,circle41,,,,
2535,circle34,,,,,
2536,circle20,,,,,
2537,circle21,,,,,
2538,circle1,,,,,
2539,circle20,,,,,
2540,circle0,circle41,,,,
2541,circle10,circle41,,,,
2542,circle15,circle20,,,,
2543,circle0,circle7,circle10,circle20,circle38,
2544,circle33,circle36,,,,
2546,circle20,,,,,
2548,circle4,circle16,,,,
2549,circle20,,,,,
2550,circle20,,,,,
2551,circle20,,,,,
2553,circle20,,,,,
2555,circle8,circle38,,,,
2556,circle20,,,,,
2557,circle11,circle41,,,,
2558,circle4,circle13,,,,
2559,circle20,,,,,
2560,circle14,circle17,circle20,,,
2561,circle12,circle20,,,,
2562,circle41,,,,,
2563,circle20,,,,,
2564,circle20,,,,,
2565,circle15,circle41,,,,
2566,circle41,,,,,
2567,circle5,circle38,,,,
2568,circle21,circle36,,,,
2569,circle41,,,,,
2570,circle34,circle41,,,,
2571,circle1,circle38,,,,
2572,circle20,,,,,
2573,circle12,circle20,,,,
2574,circle20,,,,,
2575,circle20,circle44,,,,
2576,circle20,,,,,
2577,circle15,circle18,circle41,,,
2578,circle20,,,,,
2579,circle20,,,,,
2580,circle41,,,,,
2581,circle15,circle41,,,,
2582,circle7,circle38,,,,
2583,circle1,,,,,
2584,circle20,,,,,
2585,circle1,,,,,
2586,circle20,circle44,,,,
2587,circle15,circle41,,,,
2588,circle32,,,,,
2589,circle38,,,,,
2590,circle20,,,,,
2591,circle20,,,,,
2592,circle38,,,,,
2593,circle20,,,,,
2594,circle38,,,,,
2595,circle32,,,,,
2597,circle38,,,,,
2598,circle15,circle35,circle38,circle40,circle43,
2599,circle40,,,,,
2600,circle20,,,,,
2601,circle20,,,,,
2602,circle20,,,,,
2603,circle21,circle41,,,,
2604,circle20,,,,,
2605,circle15,circle36,,,,
2606,circle20,,,,,
2607,circle20,,,,,
2608,circle38,,,,,
2609,circle40,,,,,
2610,circle11,circle38,circle41,,,
2611,circle20,,,,,
2612,circle41,,,,,
2613,circle20,,,,,
2614,circle36,circle41,,,,
2615,circle20,,,,,
2616,circle38,circle42,,,,
2617,circle21,,,,,
2618,circle41,,,,,
2619,circle20,circle44,,,,
2620,circle1,,,,,
2621,circle4,circle16,,,,
2622,circle27,,,,,
2623,circle20,,,,,
2624,circle20,,,,,
2625,circle20,,,,,
2626,circle1,,,,,
2627,circle1,,,,,
2628,circle36,circle41,,,,
2629,circle33,circle38,,,,
2630,circle20,,,,,
2631,circle20,,,,,
2632,circle36,circle41,,,,
2633,circle1,,,,,
2634,circle41,,,,,
2635,circle33,circle38,,,,
2636,circle1,,,,,
2637,circle41,,,,,
2638,circle20,,,,,
2639,circle1,,,,,
2640,circle1,,,,,
2641,circle11,,,,,
2642,circle15,circle38,circle40,circle41,,
2643,circle7,circle38,,,,
2645,circle1,,,,,
2646,circle20,,,,,
2647,circle1,,,,,
2648,circle1,,,,,
2649,circle7,circle15,circle38,,,
2650,circle27,,,,,
2651,circle45,,,,,
2652,circle21,,,,,
2653,circle40,,,,,
2654,circle20,,,,,
2655,circle20,,,,,
2656,circle41,,,,,
2657,circle1,,,,,
2658,circle1,,,,,
2659,circle1,circle41,,,,
2660,circle1,,,,,
